description,pointnumber,datetime,valuetodate,mindate,minvalue,maxdate,maxvalue,avgvalue,choice,temp,holiday
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 7:59,11458.83301,02-Oct-14 06:57:09:753,9240.3125,02-Oct-14 07:51:05:4,11471.80859,10703.36012,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 8:59,12922.12109,02-Oct-14 07:57:06:447,11458.83301,02-Oct-14 08:54:06:443,13138.61621,12546.01744,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 9:59,13319.84082,02-Oct-14 09:00:06:273,12814.32031,02-Oct-14 09:24:06:45,13403.24023,13180.81627,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 10:59,13318.17676,02-Oct-14 10:09:06:177,12980.93652,02-Oct-14 10:51:09:95,13385.61621,13268.63602,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 11:59,13158.89648,02-Oct-14 11:27:07:043,13025.19238,02-Oct-14 11:48:06:153,13328.80859,13159.21852,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 12:59,13286.08106,02-Oct-14 12:15:09:977,12934.04883,02-Oct-14 12:54:05:987,13320.96094,13117.70233,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 13:59,13222.42481,02-Oct-14 13:45:06:663,13079.81641,02-Oct-14 13:24:06:167,13458.82422,13254.96596,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 14:59,13264.77637,02-Oct-14 14:03:07:403,13158.67285,02-Oct-14 14:24:06:95,13413.04883,13281.30394,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 15:59,13380.50488,02-Oct-14 15:06:06:977,13170.99219,02-Oct-14 15:42:05:897,13467.45703,13318.88184,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 16:59,13175.99219,02-Oct-14 16:15:10:61,12976.93652,02-Oct-14 15:57:07:517,13380.50488,13146.46345,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 17:59,12213.60059,02-Oct-14 17:54:04:797,12188.82422,02-Oct-14 17:15:09:723,13324.45703,12776.00893,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 18:59,11618.84082,02-Oct-14 18:45:06:193,11582.04883,02-Oct-14 18:00:06:39,12339.17676,11946.9381,KW,29,0
